round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,26,23,28,25,22,27,24,24,24,26
2,11,8,13,11,6,10,9,10,10,10
3,18,14,21,19,15,17,15,17,17,19
4,22,18,25,22,18,22,19,20,20,24
5,24,21,26,24,20,23,20,23,22,26
6,27,22,27,25,21,25,22,24,24,26
7,25,19,26,22,20,23,19,22,22,21
8,25,21,27,24,20,25,23,25,24,25
9,28,22,29,27,23,26,24,26,24,29
10,12,9,15,12,8,12,9,11,10,11
11,20,16,22,19,14,18,16,18,17,20
12,24,20,25,23,19,23,21,21,20,25
13,26,21,28,25,21,25,23,23,23,25
14,29,23,29,27,24,27,24,26,25,29
15,13,8,14,11,8,12,8,11,11,11
16,22,16,21,21,16,20,16,19,18,21
17,26,19,27,25,21,24,20,22,22,25
18,26,22,28,26,23,26,22,25,23,27
19,25,20,28,25,22,25,23,24,23,24
20,39,35,42,40,34,38,36,38,38,39
