round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,23,27,25,26,23,23,24,21,25
2,10,8,11,8,12,8,7,9,7,10
3,17,17,21,19,20,15,16,20,14,16
4,23,21,25,24,22,19,20,23,18,20
5,24,23,25,27,25,23,21,24,21,22
6,28,26,29,30,28,26,26,27,23,25
7,11,9,11,9,13,10,7,10,8,10
8,20,18,21,21,20,16,18,21,16,18
9,23,22,27,27,25,23,22,26,21,23
10,26,26,28,29,28,24,24,28,21,24
11,23,21,23,23,26,21,20,21,21,21
12,27,25,28,28,28,24,25,26,21,23
13,22,21,24,21,26,21,19,21,20,23
14,26,26,28,27,27,24,25,28,22,24
15,21,21,25,21,24,22,20,22,21,23
16,26,26,29,28,28,24,24,27,21,24
17,23,22,24,22,25,22,21,21,20,22
18,27,26,29,28,26,23,25,26,21,24
19,21,22,23,22,25,23,20,21,20,21
20,26,25,28,28,26,24,23,27,22,24
