round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,27,25,28,24,24,25,24,28,28,26
2,10,11,12,10,9,9,7,12,12,13
3,4,2,4,2,0,1,0,3,4,4
4,9,7,13,5,7,7,7,12,11,11
5,3,5,5,3,0,2,1,4,5,5
6,7,5,10,5,8,6,7,10,10,10
7,4,5,4,3,2,1,0,5,4,4
8,8,6,11,6,6,5,5,10,9,9
9,4,3,5,3,0,2,0,5,5,5
10,8,6,11,5,7,6,6,12,9,9
11,5,5,6,4,1,2,0,4,4,4
12,8,7,11,5,7,7,7,12,9,8
13,5,4,5,2,2,2,0,5,6,5
14,8,6,12,5,7,7,7,10,8,10
15,4,4,4,4,1,2,0,5,6,5
16,9,6,12,5,7,7,5,10,10,9
17,4,3,5,4,1,2,0,6,4,5
18,8,5,12,6,8,6,6,10,9,9
19,4,5,5,4,0,2,0,5,5,5
20,9,6,11,5,6,6,6,10,10,10
