round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,22,26,28,28,28,23,24,23,25,27
2,8,10,12,14,14,6,8,7,11,13
3,1,2,4,6,6,0,1,0,2,4
4,7,8,11,10,10,6,8,5,6,12
5,0,4,6,7,7,0,2,0,4,5
6,5,7,9,9,8,6,6,3,5,10
7,7,10,12,12,10,6,8,6,9,12
8,3,6,8,10,9,1,5,1,6,8
9,8,9,11,11,10,7,8,6,9,13
10,2,6,9,9,10,2,4,3,7,9
11,7,10,11,11,11,6,7,7,8,13
12,3,7,9,8,9,0,4,2,7,9
13,7,11,13,11,12,8,8,5,7,11
14,2,7,9,9,9,0,4,3,6,8
15,8,9,13,12,11,7,8,6,7,12
16,3,6,8,8,9,0,4,1,5,8
17,6,9,11,11,11,7,9,5,8,13
18,4,7,9,8,9,1,4,2,6,9
19,8,10,12,10,10,7,7,6,7,12
20,4,5,9,9,8,0,4,2,6,8
