round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,22,23,22,26,24,23,27,21,27,27
2,6,6,7,11,10,6,11,6,11,11
3,17,17,15,18,16,17,19,15,21,21
4,21,21,17,22,20,21,22,20,24,25
5,23,23,19,24,22,22,25,21,27,27
6,18,16,18,22,22,17,22,17,22,22
7,24,23,21,24,23,23,26,22,27,26
8,17,18,18,22,21,17,23,18,22,23
9,22,23,21,24,23,23,25,21,25,25
10,17,16,18,22,21,17,22,18,21,23
11,23,23,20,23,23,22,25,21,26,27
12,17,16,17,22,21,17,23,17,21,23
13,23,22,21,23,23,23,25,21,27,26
14,18,18,17,21,20,18,24,17,21,22
15,23,23,20,25,22,23,24,21,26,26
16,17,17,18,21,20,16,23,16,21,22
17,23,23,21,23,24,23,24,20,25,27
18,17,17,19,23,20,17,24,17,21,22
19,24,22,20,25,23,22,25,21,26,27
20,17,17,18,22,21,16,22,16,22,21
