round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,28,28,21,22,22,25,29,23,28,28
2,14,15,7,8,7,11,14,8,12,12
3,22,21,17,16,15,18,22,17,20,22
4,27,25,20,21,22,22,27,23,27,28
5,21,22,16,15,17,19,22,18,22,20
6,27,24,21,21,21,21,25,21,25,27
7,22,22,16,16,17,19,22,18,21,21
8,27,25,21,20,20,20,25,22,26,27
9,23,23,17,15,15,19,21,16,21,20
10,25,25,20,21,20,22,26,22,24,28
11,22,22,17,15,17,20,21,17,20,20
12,27,25,21,20,21,21,26,21,25,27
13,22,24,15,15,16,20,22,17,21,21
14,27,24,19,20,19,20,26,20,25,27
15,21,22,15,16,15,18,22,15,21,21
16,25,24,19,19,18,20,25,20,24,27
17,29,28,23,24,24,26,31,25,29,32
18,13,15,8,7,9,12,15,9,14,14
19,23,22,17,18,18,19,23,19,23,25
20,27,27,22,23,22,22,27,23,27,28
