round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,29,24,28,21,21,27,24,25,24,27
2,15,9,15,7,7,10,10,8,9,13
3,21,18,21,15,17,22,17,20,18,18
4,24,22,25,18,21,26,21,23,23,24
5,26,24,27,22,22,27,23,26,24,25
6,25,20,26,19,18,22,21,20,21,22
7,27,23,27,21,22,27,23,25,25,25
8,24,19,26,19,18,21,21,21,20,23
9,28,24,27,21,22,27,22,27,26,25
10,24,20,26,19,18,22,20,20,22,23
11,28,24,27,20,21,27,23,26,26,26
12,26,20,24,20,17,21,21,20,21,22
13,27,24,27,21,21,28,23,27,25,25
14,25,20,26,20,19,22,21,20,21,24
15,27,24,26,22,23,27,23,27,25,25
16,25,20,25,20,18,21,21,19,21,22
17,28,25,28,21,22,27,23,26,25,26
18,25,21,24,18,18,22,21,21,22,24
19,27,24,28,22,22,27,23,27,25,26
20,24,20,24,19,17,21,21,21,20,22
