round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,23,25,27,24,28,24,24,28,22,29
2,8,10,13,10,12,10,9,13,10,12
3,0,1,5,2,3,2,1,6,1,6
4,0,0,1,0,0,0,0,1,0,2
5,1,3,5,2,5,1,4,6,0,6
6,0,0,3,0,2,0,0,1,0,2
7,2,4,5,3,5,1,4,6,0,6
8,0,0,3,0,0,0,0,2,0,2
9,2,5,4,3,4,2,5,6,0,7
10,0,0,3,0,2,0,0,2,0,2
11,0,5,5,4,4,2,5,6,0,5
12,0,0,3,0,1,0,0,2,0,2
13,2,5,4,3,5,1,4,6,1,7
14,0,0,2,0,1,0,0,2,0,2
15,1,4,4,2,6,2,4,5,0,7
16,0,0,2,0,1,0,0,3,0,1
17,1,4,4,3,5,1,4,6,0,7
18,0,0,2,0,2,0,0,2,0,3
19,2,5,4,2,5,0,4,6,0,6
20,0,0,3,0,2,0,0,2,0,2
