round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,26,23,24,22,23,27,26,22,24
2,9,8,9,9,7,8,13,10,6,8
3,17,21,17,17,15,16,21,20,16,18
4,22,23,20,21,21,19,25,24,19,21
5,25,26,23,23,22,20,27,26,20,24
6,26,29,25,26,25,25,29,29,25,26
7,10,10,11,10,8,8,13,12,8,9
8,18,22,17,19,17,17,22,21,15,17
9,23,26,21,23,21,21,27,27,22,23
10,26,27,23,26,23,23,29,28,23,25
11,22,21,21,20,20,20,24,23,19,20
12,26,28,25,24,24,22,28,28,23,25
13,22,22,22,21,20,20,25,24,18,22
14,25,29,24,26,24,24,30,29,23,24
15,21,23,21,21,21,21,25,23,18,22
16,26,27,24,24,24,24,29,28,22,24
17,21,22,22,21,19,21,25,24,20,21
18,27,29,23,24,24,23,29,27,23,26
19,22,22,22,20,19,22,24,24,19,20
20,27,29,24,24,24,23,29,28,23,25
