round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,27,23,27,22,26,27,25,22,24,28
2,11,7,13,8,11,10,13,8,8,14
3,21,17,21,17,18,19,19,16,18,20
4,13,11,15,10,14,12,14,9,10,16
5,20,16,18,15,16,17,17,14,15,19
6,22,17,20,17,18,20,19,16,17,21
7,17,13,16,14,16,15,17,12,14,19
8,22,18,20,16,17,21,19,16,18,20
9,16,13,18,14,16,17,17,13,14,18
10,22,16,20,18,18,19,19,17,17,20
11,15,13,16,14,16,17,16,13,14,18
12,21,16,21,17,18,20,19,17,16,21
13,15,14,18,13,15,17,17,11,12,18
14,21,18,22,16,19,20,20,17,17,20
15,16,13,18,14,16,15,18,12,12,19
16,22,17,21,17,17,20,19,17,16,21
17,16,13,17,13,16,15,16,13,12,19
18,21,17,21,16,18,20,19,16,18,20
19,16,12,16,14,16,15,18,11,12,19
20,23,17,20,16,18,21,18,15,16,20
