round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,29,28,28,21,22,28,24,28,25
2,11,12,14,14,6,7,14,10,11,11
3,3,6,6,7,1,1,6,2,4,4
4,7,12,12,12,6,8,10,7,12,10
5,11,17,14,14,9,11,15,10,16,13
6,9,9,12,11,5,5,12,7,10,9
7,11,17,13,14,9,11,14,12,15,11
8,9,11,13,12,4,6,12,8,10,8
9,11,15,15,14,9,10,15,12,16,13
10,9,10,11,12,5,5,12,6,10,8
11,12,16,14,14,9,9,14,11,15,12
12,8,10,12,11,5,6,13,8,9,8
13,12,16,13,14,9,10,13,11,14,12
14,9,11,12,12,6,6,12,7,8,8
15,10,16,14,14,8,11,14,12,14,12
16,9,9,11,12,4,5,12,7,8,8
17,12,17,14,15,9,10,14,12,15,11
18,8,10,12,12,6,6,13,8,10,8
19,11,16,15,15,9,10,13,12,15,12
20,8,9,12,11,5,6,11,8,9,7
