round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,24,24,25,24,25,23,25,21,25,28
2,8,10,9,9,9,8,10,6,10,12
3,17,17,18,17,17,14,16,16,17,22
4,21,22,22,21,20,19,20,18,21,25
5,22,24,25,23,23,20,23,21,24,28
6,18,20,19,18,20,17,21,16,19,22
7,21,23,23,21,22,21,23,19,22,26
8,26,26,28,24,26,24,25,24,26,30
9,9,11,11,10,12,10,12,6,11,14
10,18,18,20,16,18,16,18,16,19,21
11,21,23,22,21,21,20,22,20,22,26
12,25,24,25,23,24,23,25,22,23,28
13,19,20,19,21,20,19,20,17,21,24
14,22,22,25,21,22,20,23,20,23,26
15,23,24,26,23,23,22,25,22,25,28
16,19,22,21,21,22,20,22,19,22,25
17,24,25,24,24,24,23,23,22,25,28
18,19,21,20,22,21,20,22,18,22,24
19,24,24,25,24,24,22,24,22,25,28
20,19,23,21,21,22,19,22,18,23,24
