round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,22,25,26,23,23,28,22,21,22,24
2,6,8,10,9,7,11,5,5,8,7
3,16,16,18,14,16,19,14,16,15,15
4,20,20,20,18,18,24,17,20,18,19
5,12,15,14,13,12,17,12,12,13,13
6,18,19,18,16,17,20,16,17,16,18
7,12,13,15,13,11,16,11,11,11,12
8,17,18,18,14,16,20,16,15,15,16
9,27,26,27,24,25,28,24,25,26,25
10,8,9,9,10,8,11,6,6,8,8
11,16,17,17,16,17,20,16,17,17,16
12,8,9,9,8,8,11,8,6,9,9
13,13,14,15,12,11,15,11,11,11,12
14,14,15,16,13,15,18,13,14,14,14
15,15,15,17,14,15,18,14,16,15,14
16,26,27,28,23,25,28,24,24,26,24
17,7,10,10,10,7,13,6,7,9,9
18,16,17,18,15,15,20,14,17,16,16
19,21,20,23,18,21,23,19,20,20,20
20,14,14,15,15,14,18,13,11,15,14
