round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,23,23,27,25,24,23,23,25,26,24
2,8,6,10,9,7,7,7,9,13,7
3,15,14,20,18,18,14,15,17,19,18
4,18,17,24,20,22,19,20,22,22,22
5,14,13,16,17,14,14,14,17,18,16
6,17,15,22,20,20,16,17,19,22,21
7,19,18,23,20,22,19,19,22,21,23
8,15,14,18,17,14,16,14,18,19,17
9,18,16,24,20,20,18,18,21,23,22
10,16,16,18,17,15,16,15,18,21,15
11,18,17,23,19,20,17,19,20,21,22
12,22,22,24,23,22,22,20,23,25,21
13,6,7,9,9,6,8,7,8,11,6
14,13,13,20,16,15,13,14,15,18,16
15,17,15,23,19,19,17,17,20,21,20
16,19,18,24,20,22,19,21,22,24,23
17,15,15,18,17,15,15,14,18,21,16
18,19,18,23,20,21,18,19,21,23,22
19,16,16,17,17,14,15,15,17,20,17
20,19,18,24,20,20,18,19,22,22,22
