round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,22,25,28,28,26,26,23,25,28,23
2,9,13,13,13,11,12,8,9,10,11
3,1,4,3,6,2,2,0,2,3,2
4,5,7,9,11,11,10,7,6,10,6
5,0,6,5,5,3,3,1,3,5,3
6,3,7,8,10,11,8,5,6,11,5
7,2,4,5,7,3,3,0,3,5,3
8,2,7,8,10,9,8,7,4,9,4
9,1,4,4,5,3,2,0,3,4,3
10,2,5,9,10,10,7,6,3,9,4
11,1,3,4,4,3,3,0,3,4,2
12,2,6,7,10,9,7,5,3,8,3
13,0,3,4,6,2,3,0,3,4,3
14,1,6,8,9,10,6,5,4,9,4
15,0,4,4,6,2,4,0,2,2,2
16,3,5,7,8,9,7,6,3,8,4
17,0,4,4,5,3,2,0,1,4,2
18,2,6,8,9,8,7,5,3,9,4
19,0,3,5,5,3,4,0,2,2,3
20,3,7,8,9,9,7,5,4,10,4
