round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,27,25,29,26,23,22,22,23,24,28
2,11,9,10,8,9,6,8,7,7,10
3,20,18,22,19,15,18,14,16,16,20
4,12,10,12,10,9,7,9,7,7,11
5,16,16,18,18,11,15,11,12,13,18
6,12,8,10,9,7,6,7,8,6,11
7,15,13,17,15,11,12,10,11,11,16
8,30,28,31,29,23,26,23,25,24,29
9,11,10,13,9,9,7,9,8,7,12
10,21,19,23,22,17,18,16,18,18,21
11,14,13,14,13,11,10,12,10,9,13
12,19,18,21,19,13,16,14,15,14,20
13,13,12,13,11,10,7,10,9,8,13
14,18,15,19,18,13,13,12,13,12,18
15,12,11,14,11,11,8,9,9,8,13
16,17,14,20,17,12,15,11,14,14,17
17,13,11,13,11,11,9,11,9,10,13
18,17,15,19,18,11,14,12,13,13,16
19,12,10,13,9,9,6,8,9,7,11
20,16,14,18,16,11,14,10,13,11,16
