round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,23,25,22,27,24,24,24,21,22,23
2,6,8,4,10,10,9,7,8,7,7
3,0,0,0,4,3,1,0,0,0,0
4,4,6,3,7,4,5,2,1,0,1
5,0,0,0,1,0,0,0,0,0,0
6,2,3,1,5,1,3,0,0,0,0
7,3,4,2,6,3,4,0,0,0,0
8,21,21,19,25,24,23,21,20,20,21
9,7,6,3,11,9,7,8,5,6,6
10,0,0,0,3,2,0,0,0,0,0
11,3,5,3,7,5,5,2,1,2,2
12,0,0,0,1,0,0,0,0,0,0
13,2,2,1,5,2,2,1,0,0,0
14,2,3,1,5,3,5,1,0,1,1
15,21,20,19,25,25,23,22,20,21,20
16,7,6,4,10,9,8,8,7,5,5
17,0,0,0,2,0,0,0,0,0,0
18,2,5,2,6,5,6,2,0,1,0
19,0,0,0,0,0,0,0,0,0,0
20,2,3,0,5,2,3,0,0,0,0
