round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,27,24,28,26,22,25,26,26,26,28
2,11,10,13,8,9,11,12,11,10,12
3,3,2,5,1,0,2,4,3,1,4
4,11,8,10,8,4,5,7,7,9,13
5,6,3,8,2,0,4,5,4,1,6
6,25,23,27,22,21,24,26,25,23,25
7,10,8,13,7,7,9,11,10,8,11
8,4,1,7,1,0,3,5,4,2,5
9,13,10,11,9,4,6,9,7,9,12
10,7,3,8,4,2,5,7,5,2,6
11,25,23,27,22,21,23,25,25,22,24
12,12,7,12,7,6,9,11,9,8,10
13,5,0,6,2,1,1,4,3,1,4
14,11,9,10,7,3,4,7,7,7,11
15,4,0,5,2,0,2,4,3,1,3
16,9,7,8,6,2,3,7,5,6,10
17,5,1,6,0,0,1,3,2,1,3
18,11,7,7,8,2,3,6,4,7,9
19,4,1,7,0,0,1,4,3,1,4
20,9,7,7,8,3,3,7,4,8,11
