round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,27,24,27,24,24,23,21,22,24,28
2,12,11,10,8,9,8,5,6,9,13
3,19,18,21,17,15,16,16,15,17,20
4,13,13,13,11,10,9,6,8,11,15
5,18,14,18,15,12,12,13,12,14,18
6,11,11,12,8,9,9,5,8,10,12
7,17,12,18,12,13,11,12,11,14,17
8,28,27,31,26,25,25,25,23,27,29
9,12,12,11,9,11,9,6,7,10,14
10,22,20,23,19,18,17,18,18,20,22
11,15,14,13,10,12,12,7,9,10,14
12,19,15,20,16,15,15,15,15,16,20
13,13,13,13,10,10,10,8,8,9,14
14,17,14,19,14,12,11,12,13,14,18
15,12,11,10,8,10,9,6,7,10,14
16,15,13,16,14,13,11,11,10,13,18
17,28,26,30,26,26,24,25,23,27,30
18,12,11,11,10,10,9,6,7,9,13
19,21,18,23,18,16,15,16,16,18,23
20,13,12,13,10,10,10,7,7,10,14
