round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,26,28,27,29,29,25,26,26,28,26
2,13,12,11,14,16,11,13,11,14,12
3,4,5,4,5,7,4,4,3,5,4
4,10,13,11,13,12,9,9,11,13,11
5,6,7,5,8,9,4,6,7,7,5
6,10,15,10,13,12,9,9,10,14,11
7,7,8,6,8,11,6,7,7,8,6
8,10,16,11,15,13,12,10,11,14,12
9,7,9,8,10,11,7,8,9,9,7
10,24,25,25,26,26,23,24,25,24,24
11,11,10,11,13,13,9,11,11,12,10
12,3,5,4,6,7,3,4,3,4,3
13,7,13,10,13,12,10,7,10,13,9
14,6,6,6,8,10,4,7,5,7,5
15,10,14,11,13,12,10,9,12,14,11
16,8,9,7,8,10,7,6,7,8,7
17,9,13,11,13,11,10,8,11,14,11
18,6,9,7,10,9,7,7,7,7,8
19,9,15,11,14,11,11,9,10,14,11
20,7,8,7,10,10,5,7,8,8,8
