round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,26,21,25,24,25,23,22,25,28,25
2,9,6,9,8,11,6,6,9,14,8
3,20,16,17,19,18,14,16,20,20,19
4,11,8,11,10,13,8,7,9,14,9
5,16,11,14,16,15,11,15,17,17,16
6,9,7,12,9,12,8,8,9,13,8
7,16,12,13,15,14,10,13,14,16,15
8,28,24,25,27,28,24,27,27,28,29
9,9,7,11,9,13,8,6,10,14,8
10,21,16,19,19,18,16,19,19,21,20
11,12,8,12,11,14,9,8,10,14,10
12,19,12,14,17,15,11,14,16,18,17
13,11,8,12,10,12,7,7,9,15,9
14,16,12,13,13,15,9,13,15,17,15
15,19,14,16,16,16,12,15,16,18,16
16,13,8,12,12,14,9,8,10,15,12
17,18,14,15,16,17,12,15,18,18,17
18,12,9,12,11,15,11,8,11,16,12
19,18,14,15,15,15,11,14,18,19,18
20,13,10,13,11,14,10,8,12,16,11
