round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,26,24,27,25,28,27,28,26,27,25
2,12,8,11,10,13,12,12,14,11,12
3,20,19,23,18,24,21,23,22,23,21
4,17,14,16,12,16,17,18,17,16,15
5,19,19,24,18,23,22,23,21,22,21
6,19,16,17,14,17,20,19,19,18,17
7,16,14,15,14,15,17,17,17,15,16
8,17,16,22,16,22,18,20,19,19,18
9,16,13,14,13,16,17,17,17,16,15
10,18,16,22,17,22,19,21,20,21,19
11,16,14,14,13,16,18,17,18,17,15
12,18,16,22,17,22,18,20,18,20,20
13,17,13,14,14,15,17,17,17,15,14
14,19,18,21,18,23,18,20,19,20,19
15,15,14,14,12,16,17,16,16,16,16
16,17,18,20,16,22,18,21,19,20,20
17,16,13,14,13,17,16,17,17,16,15
18,17,17,21,18,22,20,22,19,19,20
19,17,14,15,13,17,18,18,17,15,14
20,19,17,21,17,21,18,22,20,21,18
