round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,27,26,28,21,26,28,24,22,22,23
2,11,10,11,7,9,13,8,5,6,7
3,22,18,21,15,18,19,18,16,15,16
4,25,23,25,18,23,24,22,19,19,20
5,20,18,20,14,18,21,16,13,14,14
6,24,22,25,16,22,23,20,18,19,18
7,30,28,30,22,27,28,28,23,25,25
8,14,12,12,8,11,14,8,7,7,7
9,23,21,23,17,21,23,20,18,16,19
10,28,25,28,21,24,28,24,23,21,23
11,23,21,23,18,21,24,18,17,18,18
12,27,25,26,19,24,27,25,21,21,22
13,22,21,22,17,19,23,17,16,16,17
14,26,24,25,19,22,24,24,20,20,22
15,22,19,21,17,19,24,17,15,16,18
16,26,24,26,19,23,24,23,19,19,20
17,21,20,22,17,18,24,18,16,17,17
18,25,24,26,18,23,25,23,20,21,20
19,22,19,23,17,20,24,17,16,16,17
20,25,24,26,18,23,24,22,20,21,21
