round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,24,23,24,28,22,22,29,26,22,25
2,7,6,10,12,7,8,13,11,7,8
3,0,0,2,3,0,0,4,3,0,0
4,5,5,4,7,2,2,10,5,4,6
5,0,0,2,4,0,0,4,3,0,0
6,5,3,4,6,3,1,9,5,2,5
7,0,0,0,3,0,0,2,1,0,0
8,3,4,3,5,2,0,6,3,1,5
9,27,26,26,28,25,23,29,27,24,26
10,9,7,11,13,8,9,13,12,7,8
11,1,0,2,4,0,0,6,4,0,0
12,5,6,6,8,3,4,10,7,5,8
13,1,0,1,4,0,0,5,2,0,0
14,4,4,3,6,2,1,8,6,2,6
15,0,0,1,3,0,0,3,3,0,0
16,4,3,3,5,1,1,7,4,0,4
17,26,26,26,28,24,23,29,27,24,27
18,9,6,12,12,7,8,13,11,7,9
19,1,0,4,6,0,0,4,3,0,1
20,6,6,6,9,4,2,11,6,5,7
