round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,27,23,25,26,28,26,24,22,26,24
2,12,8,11,10,14,10,9,8,10,9
3,3,0,1,2,5,2,2,0,3,0
4,7,3,5,9,9,9,5,3,9,6
5,2,0,1,0,4,1,2,0,1,1
6,7,1,3,7,8,7,3,2,7,5
7,2,0,1,1,4,1,2,0,1,0
8,7,2,3,8,8,7,3,1,6,5
9,2,0,0,1,4,1,1,0,1,0
10,6,0,4,8,9,7,2,1,8,5
11,3,0,1,1,3,1,2,0,1,0
12,6,1,2,6,8,7,3,2,8,5
13,0,0,1,0,3,0,0,0,1,0
14,4,0,3,5,7,5,3,2,7,3
15,28,23,26,30,30,28,26,25,29,26
16,12,8,10,12,14,11,10,8,10,9
17,3,1,3,1,4,1,2,0,3,1
18,7,3,5,9,10,10,4,3,10,7
19,1,0,1,0,3,1,0,0,1,0
20,7,1,3,7,9,7,2,2,7,5
