round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,23,24,25,24,24,27,22,22,24,23
2,9,10,11,9,10,12,8,9,9,9
3,14,14,15,15,14,18,14,13,14,15
4,17,17,18,15,15,20,14,15,16,16
5,16,17,20,17,17,22,17,16,16,18
6,22,25,25,23,24,28,22,22,22,22
7,9,11,11,10,9,13,8,9,9,9
8,13,15,16,13,15,18,13,13,13,14
9,16,16,18,16,16,21,15,14,15,16
10,17,18,20,18,16,21,16,16,16,18
11,22,23,25,23,24,27,22,23,24,24
12,9,10,12,9,10,13,9,8,9,8
13,15,16,16,13,15,19,13,13,14,14
14,16,17,18,16,17,20,15,15,16,17
