round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,24,26,26,23,24,26,25,28,27,23
2,10,13,13,10,12,12,11,14,13,9
3,3,5,5,2,4,5,4,7,7,3
4,4,9,8,5,6,8,7,10,8,4
5,7,9,9,6,7,8,7,11,8,6
6,7,10,10,6,9,10,9,12,11,6
7,9,11,11,8,10,12,9,12,11,8
8,23,26,26,23,23,26,24,28,26,21
9,10,12,12,9,10,12,11,13,11,9
10,2,4,5,2,3,4,4,7,6,0
11,3,8,7,3,5,7,7,7,7,4
12,5,8,8,5,6,9,7,9,8,5
13,6,10,8,6,7,10,8,9,9,6
14,5,10,9,6,7,9,8,10,9,5
15,6,10,9,7,8,8,8,10,10,5
16,6,10,10,7,8,10,8,11,10,6
17,6,11,10,7,8,10,8,12,10,6
18,8,11,11,7,8,9,9,12,10,5
19,23,26,26,24,24,25,25,27,26,22
20,8,12,12,10,9,11,10,12,13,8
