round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,27,26,29,26,23,24,22,22,23,27
2,13,12,14,12,9,9,9,10,10,13
3,19,16,20,18,16,14,16,16,15,20
4,16,15,17,16,12,12,12,12,12,15
5,17,15,18,17,14,12,13,13,13,17
6,27,26,28,26,23,23,22,23,24,28
7,14,12,14,13,11,10,10,9,11,14
8,19,18,20,19,16,15,15,16,17,20
9,16,14,16,15,12,12,11,12,13,15
10,16,15,17,16,12,13,13,13,14,17
11,27,24,27,26,23,23,22,24,23,27
12,14,12,14,11,10,9,9,10,9,12
13,18,17,20,18,14,15,14,16,15,18
14,14,13,17,15,12,11,12,11,12,14
15,15,14,17,15,12,12,13,12,12,16
16,16,13,17,16,12,12,12,11,12,16
17,17,13,18,15,12,12,12,12,12,17
18,17,15,18,15,13,13,12,12,13,17
19,26,25,28,26,23,23,22,24,24,27
20,12,11,14,12,10,9,8,9,9,13
