round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,28,26,28,23,24,24,23,21,25,28
2,14,11,13,11,12,10,10,9,10,14
3,20,18,20,18,17,16,14,15,16,22
4,17,15,17,14,13,11,12,11,13,17
5,17,15,17,13,14,13,12,12,15,18
6,28,25,27,23,24,23,21,21,24,29
7,13,11,13,9,11,9,8,8,10,13
8,19,17,19,16,16,15,15,15,16,21
9,14,14,16,11,12,11,11,11,13,16
10,16,14,16,13,13,13,12,12,13,17
11,17,14,16,12,13,11,11,11,12,17
12,16,14,16,14,14,12,10,10,13,17
13,16,14,15,13,13,13,12,11,12,16
14,15,14,16,13,13,13,11,11,12,17
15,16,14,15,12,13,13,11,11,13,18
16,16,14,17,12,12,12,11,12,13,16
17,16,14,17,13,12,12,11,10,14,17
18,16,14,16,13,12,12,12,12,14,17
19,17,13,16,13,14,13,12,12,13,18
20,17,14,17,15,14,13,12,13,15,19
