round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,24,27,27,27,24,24,25,22,24
2,10,11,12,13,13,10,10,11,8,10
3,17,16,20,18,19,16,14,17,14,15
4,21,19,22,21,23,18,18,20,16,19
5,20,21,23,22,23,19,20,21,17,20
6,22,21,24,22,24,22,20,21,19,20
7,23,22,24,23,25,21,20,22,18,21
8,22,21,25,22,24,22,20,22,20,21
9,22,21,23,23,25,21,19,22,19,20
10,23,21,24,23,24,21,20,21,19,22
11,22,22,25,22,24,20,19,22,19,22
12,22,21,24,23,24,21,20,21,19,20
13,22,20,25,22,23,21,20,22,19,20
14,21,22,24,23,24,21,20,22,19,20
15,23,22,23,23,24,22,20,21,19,21
16,22,21,24,23,24,21,19,22,19,21
17,21,20,24,22,25,21,19,23,19,20
18,22,22,24,23,25,21,20,22,19,22
19,24,22,25,24,25,22,20,23,21,22
20,24,21,25,24,24,22,21,23,20,22
