round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,23,24,27,27,28,28,24,27,23,27
2,11,11,13,14,15,15,9,14,10,14
3,4,5,7,7,8,9,3,7,4,7
4,2,1,5,5,5,5,1,4,0,4
5,4,4,6,6,7,7,2,6,2,7
6,3,4,6,7,7,8,2,7,1,5
7,4,3,6,6,7,8,2,6,2,6
8,3,3,6,6,6,8,2,6,3,6
9,24,24,27,27,28,29,23,27,23,26
10,11,10,14,15,16,16,10,14,10,14
11,5,5,8,7,10,9,3,8,3,8
12,1,0,4,4,5,4,0,4,0,4
13,3,3,6,7,8,7,1,6,2,7
14,1,2,4,4,7,6,1,5,1,5
15,3,3,6,7,7,6,3,7,3,7
16,3,3,7,6,7,7,1,6,1,5
17,24,25,28,28,27,28,23,27,24,28
18,12,12,14,13,15,15,10,14,10,14
19,4,5,7,7,8,8,2,7,2,7
20,2,0,5,3,5,5,0,3,0,5
