round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,29,23,23,24,24,29,27,27
2,13,11,15,12,11,10,10,14,13,15
3,6,5,8,4,4,5,3,8,7,8
4,3,2,5,2,1,1,0,5,4,4
5,4,4,6,2,1,1,1,5,5,5
6,4,4,7,2,4,3,2,6,6,5
7,25,26,27,24,24,24,23,29,27,28
8,12,12,15,11,11,11,10,15,14,13
9,5,5,7,5,5,4,2,7,7,7
10,3,2,5,1,1,2,0,5,4,3
11,4,3,5,2,2,3,0,6,6,5
12,5,4,7,3,2,3,2,7,6,6
13,25,25,28,24,24,23,23,27,27,28
14,13,12,16,11,11,11,11,16,15,15
15,7,6,9,6,4,5,5,10,8,8
16,3,2,5,1,2,1,0,5,4,4
17,5,4,7,3,3,2,2,8,6,6
18,4,2,6,2,2,1,1,6,5,5
19,25,25,29,24,24,24,23,28,27,27
20,13,12,15,11,11,11,9,15,14,13
