round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,26,21,24,26,27,26,25,21,27,25
2,12,8,11,12,13,12,11,9,13,10
3,6,2,4,6,7,6,4,2,7,5
4,2,0,0,1,4,2,0,0,2,0
5,4,0,1,3,4,4,0,0,3,1
6,5,0,2,5,5,4,2,1,3,3
7,25,22,24,26,27,26,24,22,26,25
8,13,7,11,13,15,12,11,8,11,10
9,6,2,4,5,9,5,3,2,6,3
10,2,0,0,1,4,2,0,0,2,0
11,2,0,2,3,5,3,2,0,3,1
12,4,0,2,4,7,4,2,0,3,2
13,5,0,2,4,6,4,2,0,4,2
14,4,0,2,3,5,3,2,0,3,1
15,4,0,2,5,6,5,2,0,4,3
16,26,23,24,26,27,26,23,21,26,25
17,12,8,10,13,14,11,10,8,12,10
18,5,1,3,6,7,4,3,2,5,4
19,8,4,5,8,10,9,6,4,9,7
20,5,2,4,6,8,6,5,1,6,4
