round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,23,22,26,27,22,23,23,22,22,28
2,8,9,12,13,8,9,9,7,8,14
3,13,14,16,18,13,15,15,12,12,18
4,8,8,12,14,7,9,10,9,8,14
5,9,8,11,13,8,9,9,7,7,14
6,9,8,11,14,8,9,9,9,8,15
7,10,9,12,14,10,10,10,9,9,16
8,10,10,13,15,10,10,10,9,8,14
9,10,10,13,15,9,9,10,9,8,14
10,9,9,13,15,9,10,10,8,8,14
11,10,10,13,13,10,9,10,9,8,14
12,10,8,13,14,8,10,11,9,8,15
13,10,8,12,13,9,10,11,9,9,14
14,10,8,13,15,9,10,10,10,9,15
15,9,9,13,15,8,11,10,9,9,15
16,10,8,13,14,8,9,10,9,9,15
17,11,9,13,15,9,9,10,10,9,15
18,11,9,14,13,8,10,9,9,8,15
19,10,8,13,14,9,11,9,9,9,15
20,10,9,12,14,10,10,10,9,9,15
