round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,24,27,29,28,28,22,24,23,25,28
2,10,14,15,15,15,10,10,8,12,16
3,2,6,9,8,8,2,4,1,5,8
4,6,9,12,11,12,5,7,5,9,12
5,4,6,8,10,9,3,5,3,6,10
6,5,7,11,11,10,4,6,3,7,11
7,23,26,28,28,29,22,24,21,26,29
8,10,13,15,16,16,9,12,9,11,15
9,4,7,8,8,8,3,4,2,5,8
10,6,10,11,10,11,6,8,5,8,11
11,5,8,8,9,9,2,5,4,6,9
12,6,8,10,10,10,3,6,5,8,11
13,23,27,28,27,29,22,23,23,25,29
14,10,13,14,14,14,10,11,8,11,15
15,2,5,9,7,8,1,3,2,4,8
16,7,10,11,11,12,5,7,5,8,11
17,5,7,9,10,10,2,4,3,6,9
18,5,8,10,10,10,4,5,4,8,11
19,23,26,28,28,28,22,24,22,26,28
20,10,13,15,16,15,9,11,8,12,14
