round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,24,26,26,24,25,23,25,22,25,29
2,9,11,11,10,11,10,11,9,12,14
3,15,17,17,16,17,16,16,14,17,20
4,20,19,20,18,20,18,20,18,21,23
5,20,22,20,19,20,18,21,18,22,24
6,20,22,23,21,21,20,23,20,22,25
7,21,22,22,21,22,19,21,19,21,25
8,21,22,22,21,23,20,22,19,22,25
9,20,22,22,21,22,20,22,19,22,25
10,21,22,23,20,22,20,23,19,22,25
11,21,21,22,21,22,21,22,19,22,24
12,22,22,23,21,21,20,22,18,22,26
13,21,23,23,21,22,20,22,19,22,25
14,21,23,23,21,21,20,21,19,22,24
15,21,23,21,21,23,20,22,19,22,25
16,21,21,23,21,22,20,22,19,23,24
17,22,22,22,21,23,21,22,19,23,25
18,21,24,22,22,23,21,23,21,23,27
19,22,24,23,22,24,22,23,20,23,26
20,22,23,23,21,24,22,22,19,23,26
