round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,27,27,29,28,24,25,27,28,26
2,11,15,14,16,15,11,13,13,15,13
3,7,8,6,10,9,7,6,8,9,6
4,10,13,10,13,13,11,11,11,12,11
5,10,12,10,13,12,9,10,10,12,9
6,8,10,10,10,11,8,9,9,10,10
7,7,10,9,12,11,9,9,9,10,9
8,8,10,9,11,11,8,8,8,12,10
9,9,11,10,11,11,8,8,9,11,9
10,8,11,9,11,11,9,8,8,11,10
11,8,12,10,11,11,7,9,9,11,9
12,7,11,9,11,12,7,9,9,12,9
13,7,12,9,11,11,7,8,8,11,8
14,8,12,10,11,11,9,7,10,11,10
15,7,11,10,11,11,8,7,9,11,9
16,8,11,10,12,10,8,9,9,10,9
17,8,10,10,11,11,8,7,9,10,9
18,8,11,9,10,11,9,8,9,11,10
19,8,11,10,12,11,8,8,10,12,9
20,8,10,9,10,11,8,8,10,10,9
