round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,28,24,28,23,23,25,24,25,25,26
2,15,10,14,8,10,12,11,12,12,14
3,21,17,21,16,15,19,17,19,18,19
4,24,20,24,19,18,22,20,21,20,23
5,26,21,25,21,20,24,22,23,22,24
6,27,22,26,20,20,24,23,22,23,24
7,28,24,26,21,21,24,22,25,24,25
8,27,25,27,23,22,27,24,25,26,26
9,16,11,16,9,8,14,12,11,13,12
10,22,17,20,15,15,19,17,18,18,19
11,23,20,23,19,19,22,19,20,21,23
12,25,20,25,19,19,23,21,22,22,23
13,25,23,26,21,19,25,22,22,24,24
14,28,23,27,21,22,24,23,24,24,26
15,28,24,28,22,22,26,23,25,24,26
16,13,10,13,8,9,12,9,11,11,13
17,19,15,20,14,14,17,16,17,16,18
18,24,19,23,18,17,21,19,19,20,20
19,24,22,25,19,19,24,20,22,22,23
20,27,22,26,21,21,24,22,22,23,25
