round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,24,25,25,23,24,23,28,27,21,24
2,11,12,10,10,10,9,13,13,8,10
3,18,18,16,15,15,15,20,19,14,16
4,20,21,19,19,18,19,23,22,17,19
5,21,22,20,20,19,19,24,22,18,20
6,22,23,22,20,20,21,26,24,18,21
7,21,23,22,22,20,20,25,23,19,21
8,22,23,21,21,19,19,26,24,20,21
9,22,22,21,21,20,20,24,25,19,21
10,22,23,22,21,19,20,24,24,19,22
11,22,23,22,21,20,20,25,23,19,21
12,23,24,20,21,21,20,24,24,19,20
13,23,22,21,21,19,20,25,24,18,20
14,22,23,22,22,20,20,25,23,19,22
15,22,24,21,20,20,20,25,23,20,21
16,22,23,21,20,20,20,25,24,19,21
17,22,23,21,22,20,20,24,24,19,20
18,21,23,20,20,20,19,24,24,19,21
19,23,23,21,21,19,20,24,24,19,21
20,22,24,20,21,20,20,24,23,20,20
