round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,28,26,29,22,24,28,23,23,21,24
2,13,12,13,7,11,13,10,8,8,8
3,20,18,20,13,18,20,17,14,13,14
4,23,20,23,18,21,23,18,17,18,18
5,23,22,25,18,21,23,21,18,18,19
6,24,23,25,19,21,25,21,18,19,20
7,25,24,25,19,21,25,22,19,18,20
8,28,26,28,22,24,28,24,22,22,24
9,15,13,14,8,11,13,10,7,7,8
10,21,19,21,15,18,21,16,14,14,14
11,23,20,22,17,21,23,20,17,18,17
12,24,22,24,18,21,25,20,17,19,19
13,24,24,25,19,22,25,21,19,19,20
14,29,25,28,23,25,28,24,22,22,23
15,14,12,14,8,11,14,9,8,9,9
16,19,19,20,14,17,20,16,15,13,15
17,23,22,24,17,19,23,19,17,18,19
18,25,23,25,19,22,24,21,18,19,20
19,24,23,26,19,22,25,21,19,19,20
20,28,26,28,22,25,28,24,22,22,23
