round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,26,22,25,24,27,22,24,26,28,26
2,13,10,12,12,13,8,11,12,14,12
3,18,15,18,18,18,15,16,17,20,19
4,15,11,14,15,15,11,12,13,18,13
5,15,13,16,15,15,12,13,14,17,14
6,26,22,24,25,26,22,22,24,28,25
7,11,8,11,11,12,8,9,11,14,12
8,19,14,17,17,18,14,15,17,20,17
9,14,10,14,14,14,10,12,13,16,13
10,15,11,14,13,15,11,13,15,16,14
11,15,11,15,15,16,10,13,13,18,14
12,26,22,25,25,25,22,23,25,28,25
13,12,9,12,11,12,8,9,11,14,12
14,18,14,17,18,18,14,15,17,20,17
15,14,9,12,13,14,9,11,12,16,12
16,15,11,14,14,15,11,12,14,17,15
17,15,11,14,14,14,11,12,14,16,15
18,14,11,14,14,15,11,12,14,17,13
19,15,11,14,14,15,11,12,14,18,14
20,16,12,14,13,15,10,12,14,17,14
