round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,27,27,28,28,22,24,27,27,28,21
2,13,14,15,15,10,11,14,15,15,8
3,8,8,8,8,4,6,8,7,8,3
4,4,4,6,5,0,1,5,4,5,0
5,2,3,4,4,0,0,4,3,4,0
6,2,2,3,4,0,0,2,3,4,0
7,1,2,3,2,0,0,2,2,2,0
8,27,27,29,27,22,24,27,26,28,23
9,14,14,15,14,9,10,15,14,15,9
10,8,7,8,7,4,4,7,7,8,1
11,3,4,5,5,1,1,4,4,4,0
12,2,4,3,3,0,1,2,2,4,0
13,1,3,4,4,0,0,3,2,2,0
14,2,2,3,3,0,0,1,2,2,0
15,26,28,27,28,24,25,26,27,27,22
16,14,14,15,15,10,12,14,13,15,8
17,8,8,9,9,4,5,7,9,9,4
18,4,5,6,6,0,2,6,5,5,0
19,2,2,3,3,0,1,3,3,3,0
20,1,2,3,2,0,0,2,3,3,0
