round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,27,22,28,26,23,26,22,25,24,25
2,13,8,14,13,8,11,8,10,9,12
3,18,15,20,18,14,18,14,17,16,18
4,22,17,23,21,17,21,19,20,19,21
5,24,19,26,24,19,23,20,21,21,22
6,23,19,26,22,20,23,20,21,21,24
7,23,20,24,23,20,22,20,23,21,24
8,26,20,26,24,19,24,20,23,23,24
9,25,20,26,24,20,24,21,23,22,25
10,28,23,29,26,22,25,24,25,24,26
11,14,9,14,13,10,12,10,12,11,13
12,20,16,21,20,14,18,16,18,16,19
13,23,18,24,22,18,22,18,21,19,23
14,25,20,25,23,20,22,20,22,22,23
15,25,20,26,24,20,25,21,23,22,23
16,25,20,26,25,20,24,21,22,23,24
17,27,21,27,26,21,25,22,23,23,24
18,26,21,27,24,21,25,21,25,24,24
19,26,20,27,26,21,25,23,24,23,25
20,27,23,28,25,23,26,24,25,23,26
