round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,22,27,23,26,26,27,23,24,22,27
2,8,13,9,12,11,13,10,9,8,13
3,15,19,14,18,19,19,15,15,15,19
4,11,15,12,14,13,16,10,10,11,15
5,11,16,12,15,15,17,11,12,12,17
6,22,27,22,26,27,27,23,23,24,27
7,8,13,9,12,13,13,9,10,9,14
8,14,19,16,18,18,19,14,15,15,19
9,10,15,11,14,14,14,11,11,11,15
10,10,16,12,15,15,16,13,13,12,15
11,22,27,24,25,26,26,23,23,23,27
12,8,12,9,12,12,13,10,9,9,12
13,13,19,15,19,18,18,15,16,14,20
14,10,15,11,13,15,14,10,12,10,15
15,10,15,12,16,15,16,12,12,12,16
16,22,28,23,27,26,27,23,23,23,27
17,8,13,9,11,12,14,10,9,9,12
18,14,18,15,18,18,19,15,14,16,18
19,9,15,11,14,15,15,12,10,12,15
20,11,16,12,15,15,16,12,13,13,16
