round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,28,24,29,25,22,24,25,24,25,27
2,16,12,15,13,9,11,13,12,12,15
3,8,6,8,4,2,3,7,5,6,8
4,5,1,5,2,0,1,2,2,3,6
5,6,3,5,4,0,2,4,3,3,6
6,28,25,28,25,22,24,26,25,25,29
7,16,12,15,12,9,12,13,12,11,16
8,9,5,8,5,2,4,5,5,4,8
9,6,1,5,2,0,1,2,2,2,4
10,6,4,6,4,1,2,4,2,3,5
11,28,26,29,26,22,24,26,26,25,28
12,15,12,15,11,10,11,13,12,12,16
13,7,5,8,5,2,4,5,5,5,8
14,5,1,5,2,0,1,3,2,1,6
15,5,3,7,4,0,3,4,2,2,6
16,28,26,28,24,22,25,26,24,26,28
17,14,13,15,12,9,12,14,11,12,15
18,8,6,8,5,2,5,5,5,6,8
19,5,2,4,1,0,2,2,2,1,5
20,6,2,6,3,0,3,3,3,4,6
