round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,23,25,28,24,27,25,26,29,23,28
2,10,11,14,11,14,12,12,16,11,15
3,3,5,7,5,7,3,5,8,3,8
4,0,2,3,2,4,0,2,5,0,4
5,0,2,5,2,6,2,3,5,2,5
6,23,26,26,26,27,24,24,28,22,28
7,10,12,14,12,14,10,12,15,10,14
8,2,5,7,5,6,4,5,7,2,7
9,0,2,4,3,4,0,2,5,0,5
10,0,3,5,3,5,3,3,6,2,6
11,23,25,28,24,27,24,24,29,22,28
12,10,12,14,12,15,10,12,15,10,16
13,4,6,8,6,6,4,5,9,3,7
14,0,2,4,2,4,2,2,5,0,6
15,0,0,1,1,3,0,0,3,0,4
16,24,25,27,24,27,23,25,28,23,28
17,10,12,14,12,15,10,12,14,9,15
18,3,4,7,5,8,3,5,9,3,8
19,0,3,3,3,4,0,1,6,0,5
20,2,3,6,3,5,1,3,6,0,6
