round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,24,22,22,26,25,23,28,22,28,27
2,8,9,7,12,10,9,13,8,14,13
3,16,15,14,17,17,15,20,14,19,20
4,18,18,17,20,19,19,22,16,22,23
5,20,19,18,22,21,20,22,19,23,22
6,20,20,19,23,22,21,24,19,24,24
7,20,19,19,22,23,19,23,19,24,23
8,20,20,19,23,23,20,23,19,25,23
9,20,20,20,23,22,20,25,19,24,25
10,20,20,19,24,23,20,24,20,24,24
11,19,21,20,24,22,21,25,19,24,24
12,20,20,19,23,23,20,24,19,24,24
13,21,20,19,23,22,19,23,18,25,24
14,21,20,19,23,23,20,25,19,23,25
15,20,20,19,24,22,20,24,19,24,24
16,19,19,19,23,21,21,25,19,23,25
17,21,20,20,23,22,20,23,18,23,24
18,20,20,20,24,22,20,25,19,23,23
19,20,20,19,22,22,20,24,20,25,24
20,19,20,18,23,22,19,24,19,24,25
