round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,24,25,25,25,25,25,25,25,25,24
2,11,11,11,11,11,11,11,11,11,11
3,5,5,3,5,5,5,5,5,5,5
4,7,7,7,7,7,7,7,7,6,7
5,8,8,8,8,8,7,8,8,8,7
6,9,10,9,9,9,9,9,10,9,9
7,10,10,10,10,10,10,10,10,10,10
8,25,25,25,25,25,25,25,25,24,25
9,11,11,11,11,11,10,11,11,11,11
10,4,5,4,4,5,4,4,4,4,4
11,7,7,7,7,7,7,7,7,7,7
12,9,8,8,8,8,8,9,8,8,8
13,9,9,9,9,9,9,9,9,9,9
14,25,25,24,26,25,25,25,25,25,25
15,12,12,12,12,12,12,12,12,12,12
16,5,5,5,5,5,5,6,5,6,5
17,8,8,8,8,9,8,8,9,8,8
18,9,10,10,10,10,10,10,9,10,10
19,10,10,11,10,10,10,10,10,10,10
20,11,11,11,11,11,11,12,11,11,11
