round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,25,25,25
2,12,12,11,12,12,12,12,12,13,12
3,5,5,5,5,4,5,5,5,5,5
4,8,8,8,8,9,8,9,8,8,8
5,6,6,7,6,6,6,6,6,6,6
6,7,7,6,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7
8,25,25,25,25,25,25,25,25,25,25
9,12,12,12,12,12,12,12,13,12,12
10,5,5,5,5,6,5,5,5,5,5
11,8,8,8,8,8,8,8,8,8,8
12,10,10,10,10,10,10,10,10,10,10
13,9,9,9,9,9,8,9,9,9,8
14,25,25,25,24,25,25,25,25,25,25
15,11,11,11,11,11,11,10,11,11,11
16,4,4,4,4,4,4,4,4,4,4
17,7,7,7,7,7,7,7,8,8,7
18,8,8,7,8,8,8,8,8,8,8
19,8,8,8,8,8,8,8,8,8,8
20,9,9,9,9,9,8,9,9,9,9
