round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,24,26,25,25,25,25,25,25,25,25
2,12,12,12,12,12,12,12,12,12,12
3,5,5,5,5,6,5,5,5,5,5
4,9,8,8,9,8,8,8,8,8,8
5,10,10,12,10,10,10,10,10,10,10
6,11,11,11,11,10,11,11,11,11,11
7,11,11,10,11,11,11,11,11,11,11
8,11,11,11,11,11,10,11,11,11,11
9,11,11,12,11,11,11,11,11,11,11
10,25,25,25,25,25,25,25,25,25,25
11,12,12,13,12,12,12,12,12,12,12
12,5,5,5,5,6,5,6,5,5,5
13,9,8,8,8,8,8,8,8,8,8
14,10,10,10,10,10,10,10,10,10,10
15,11,11,11,11,11,11,12,11,11,11
16,25,25,25,26,25,25,25,25,25,25
17,12,11,12,12,12,11,12,12,12,12
18,5,5,5,5,5,5,5,4,6,5
19,8,8,8,8,8,8,8,8,8,8
20,9,9,9,9,9,9,9,9,9,9
