round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,24,25,25,25,25,25,25,26,25,25
2,11,12,12,12,12,12,12,11,12,12
3,18,18,18,18,18,18,18,18,18,18
4,14,14,14,14,14,14,14,14,14,14
5,16,15,16,16,16,16,16,16,17,16
6,15,15,15,15,15,15,15,15,15,15
7,25,25,26,25,25,24,25,25,25,25
8,12,12,12,12,12,12,12,12,12,12
9,18,18,18,18,18,18,18,18,18,18
10,15,15,15,15,15,15,15,15,15,15
11,13,13,13,13,13,13,13,13,13,13
12,14,14,14,13,14,14,14,14,14,14
13,14,15,14,14,14,13,14,14,14,14
14,25,25,25,25,25,25,25,25,25,25
15,12,12,11,12,12,12,12,12,12,12
16,18,18,18,17,19,18,18,18,18,18
17,14,14,14,14,14,14,14,13,14,14
18,15,15,15,17,15,15,15,15,15,15
19,14,14,14,14,14,15,14,14,14,14
20,25,25,25,25,25,25,25,25,25,25
