round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,25,25,25
2,12,12,11,12,12,12,12,12,12,13
3,18,18,18,18,18,18,18,18,19,18
4,15,15,16,15,15,15,15,15,15,15
5,13,13,13,13,13,13,14,13,13,13
6,14,14,14,14,14,14,14,14,14,14
7,25,25,25,25,25,25,25,25,25,25
8,12,12,12,12,12,12,12,12,12,12
9,18,18,18,18,18,18,18,18,18,19
10,15,15,15,15,15,15,15,15,15,15
11,13,13,13,12,13,13,13,13,13,13
12,13,13,13,13,13,13,13,14,13,13
13,14,14,15,14,14,14,14,14,14,14
14,25,25,25,25,24,25,25,25,25,26
15,12,12,12,12,12,12,12,12,12,12
16,18,18,18,18,18,18,18,18,18,18
17,15,15,15,15,15,15,15,15,15,15
18,13,13,13,13,13,13,13,13,13,13
19,14,14,14,13,14,14,14,14,14,15
20,25,25,25,25,25,25,25,25,26,25
