round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,26,25,25,25,25,25,25,25,25,25
2,12,12,11,12,12,12,12,12,12,11
3,5,5,5,5,6,5,4,5,5,5
4,2,2,2,2,3,2,2,2,2,2
5,0,1,0,0,0,0,0,0,0,0
6,1,1,1,1,1,1,1,1,2,1
7,25,25,25,25,25,25,25,25,25,25
8,12,12,12,12,12,12,13,12,12,12
9,5,5,5,5,5,5,5,5,5,4
10,0,1,1,1,0,1,1,1,1,1
11,2,2,2,2,2,1,2,2,2,2
12,25,25,25,25,25,25,25,25,25,25
13,12,12,12,12,12,12,13,12,12,12
14,5,5,5,5,5,5,4,5,6,5
15,3,2,2,1,2,2,2,2,2,2
16,0,0,0,0,0,0,0,0,0,0
17,1,1,1,0,1,2,1,1,1,1
18,25,25,25,25,25,25,26,25,25,25
19,12,12,12,12,12,12,12,12,12,12
20,5,5,5,6,5,5,5,6,5,5
