round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,24,25,25,25,26,25,25,25
2,12,12,12,12,13,11,12,12,12,12
3,18,18,18,18,18,18,18,18,18,18
4,21,21,21,21,21,21,21,22,21,22
5,23,23,23,23,23,23,23,23,23,23
6,24,24,24,24,24,24,23,24,24,24
7,25,25,25,25,25,25,25,25,25,25
8,12,12,11,12,12,11,12,12,12,12
9,19,18,18,18,18,18,18,18,18,18
10,21,21,21,20,20,21,21,21,21,21
11,22,22,22,22,22,22,22,22,22,22
12,22,23,23,23,23,23,23,23,23,24
13,24,24,24,24,24,24,24,24,24,24
14,25,25,25,25,25,25,25,25,25,24
15,10,11,11,10,11,11,11,11,11,11
16,17,17,17,17,17,16,17,18,17,17
17,20,21,20,20,20,20,20,20,20,20
18,22,22,22,21,22,22,22,22,22,22
19,21,21,22,22,22,22,22,22,22,22
20,22,22,22,23,22,22,22,22,22,22
