round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,26,25,25,25,25,25,25,25,25,25
2,12,12,12,12,12,12,12,12,13,13
3,5,5,5,6,5,5,5,5,5,5
4,2,2,2,2,2,2,2,2,1,1
5,3,3,2,3,3,3,3,3,2,3
6,4,3,3,3,3,3,3,3,3,3
7,4,5,4,4,4,5,4,4,4,4
8,26,25,25,24,25,25,25,25,25,25
9,12,12,12,12,12,12,12,12,12,12
10,5,5,5,5,5,4,5,6,5,5
11,2,2,2,2,2,2,2,2,2,2
12,3,3,4,3,3,3,4,3,3,3
13,4,4,4,4,4,4,5,4,4,4
14,25,25,24,25,25,25,25,25,25,25
15,11,11,11,11,11,11,11,11,11,11
16,5,5,5,5,5,5,5,5,5,5
17,1,2,2,2,2,2,2,2,2,2
18,3,3,4,3,3,3,3,3,3,3
19,4,4,4,4,4,4,3,4,4,4
20,25,25,25,25,25,24,25,25,25,25
