round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,24,25,25,25,25,25,25
2,11,11,11,11,11,11,11,11,11,11
3,5,5,5,5,5,5,5,5,5,5
4,2,2,2,2,2,2,2,2,2,2
5,3,3,3,3,3,3,3,3,3,3
6,25,25,25,25,25,25,25,25,25,25
7,12,12,14,12,12,12,12,12,12,12
8,5,5,5,5,5,5,5,4,5,5
9,1,1,1,1,1,1,1,1,0,1
10,2,2,2,2,2,2,2,3,2,2
11,3,3,3,2,3,3,3,3,3,3
12,25,24,25,25,25,25,25,25,25,25
13,11,11,11,11,11,11,11,11,11,11
14,5,5,5,5,5,5,5,5,5,5
15,2,2,2,2,2,2,2,2,1,3
16,3,3,3,3,2,3,3,4,3,3
17,25,25,25,25,25,25,25,25,25,25
18,12,12,12,12,12,12,12,12,12,11
19,6,5,5,5,5,5,5,5,5,5
20,2,2,2,3,2,2,2,2,2,3
