round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,25,25,25
2,12,12,12,12,13,12,12,13,12,12
3,18,18,18,17,18,18,18,18,18,18
4,21,21,21,21,21,21,21,21,21,21
5,22,23,23,23,23,23,23,23,23,23
6,23,23,23,23,23,23,23,23,23,23
7,23,24,24,25,24,24,24,24,24,24
8,26,25,25,25,25,25,25,25,25,26
9,12,12,12,12,12,11,12,12,12,12
10,18,18,18,19,18,18,18,19,18,18
11,21,21,21,20,21,22,21,21,21,21
12,23,23,23,23,23,23,23,23,23,23
13,24,24,24,24,24,24,24,24,24,24
14,26,26,25,25,25,25,25,25,25,25
15,12,11,12,12,12,12,12,12,12,12
16,18,18,17,18,18,18,17,18,18,18
17,21,21,22,21,21,21,21,21,21,21
18,23,24,23,23,23,22,23,23,23,23
19,24,24,24,24,24,24,25,23,24,24
20,25,25,25,25,25,24,25,25,25,25
