round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,25,25,25
2,12,13,12,11,12,12,12,12,12,12
3,18,19,18,18,18,18,18,17,18,18
4,21,21,21,21,21,21,21,21,21,21
5,23,23,23,24,23,23,23,23,23,24
6,24,23,24,24,24,24,24,24,24,23
7,24,24,24,24,24,24,24,24,24,23
8,24,24,24,24,24,24,24,24,24,24
9,25,25,25,25,25,25,25,25,25,25
10,12,12,12,12,12,12,12,12,12,12
11,18,18,18,18,18,17,19,18,18,18
12,21,21,21,21,20,21,21,21,21,21
13,22,22,22,22,22,22,22,22,22,22
14,23,23,23,22,23,23,23,23,22,23
15,23,23,23,23,23,24,23,23,23,23
16,24,25,24,23,24,24,24,24,24,24
17,25,25,25,25,26,25,25,25,25,25
18,13,12,12,12,12,12,12,12,13,12
19,18,18,19,18,18,18,18,18,18,18
20,21,21,21,21,21,21,21,21,21,21
