round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,26,25,26,25
2,12,12,12,12,12,12,12,12,12,12
3,4,5,5,5,5,4,5,5,5,5
4,8,8,8,8,8,8,8,8,8,8
5,10,10,10,10,9,10,10,10,10,10
6,10,10,10,10,10,10,10,10,10,11
7,25,25,25,25,25,25,25,25,25,25
8,12,12,12,12,12,12,11,12,12,13
9,5,5,4,5,5,5,5,5,5,5
10,8,8,8,8,8,8,8,8,8,8
11,10,11,11,10,10,10,10,10,10,10
12,9,9,9,9,9,9,9,9,9,9
13,25,25,25,25,25,25,25,25,25,25
14,12,13,12,12,12,12,12,12,12,13
15,5,5,5,5,5,5,5,5,6,5
16,8,8,8,8,8,8,8,8,8,7
17,8,8,9,9,9,9,9,9,9,9
18,10,10,10,10,11,10,10,10,10,10
19,9,9,9,9,10,9,9,9,9,9
20,25,25,25,26,25,25,25,25,25,25
