round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,24,25,25,25
2,11,11,11,11,12,11,11,11,11,11
3,17,17,17,17,17,17,17,17,17,17
4,19,20,20,20,20,20,20,20,20,21
5,18,18,18,18,18,18,18,18,18,18
6,25,25,25,25,25,25,25,25,25,25
7,12,12,12,12,12,12,12,12,12,12
8,19,18,18,18,18,18,18,18,18,18
9,15,15,15,15,15,15,15,15,16,15
10,16,16,15,16,16,16,16,15,16,16
11,16,16,16,16,16,16,16,16,16,17
12,17,17,17,17,17,17,17,17,17,17
13,25,25,25,25,25,25,25,25,25,25
14,12,12,12,12,12,12,12,12,12,12
15,17,18,18,18,18,18,18,18,18,19
16,15,15,15,15,14,15,15,15,15,15
17,16,16,16,16,16,16,16,16,16,16
18,17,17,17,17,16,17,17,17,17,17
19,17,17,17,17,18,17,16,17,17,17
20,25,24,25,25,25,24,25,25,25,25
