round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,26,25,25,25,25,26,25,25
2,12,12,12,12,12,12,12,12,12,12
3,5,5,4,5,5,5,5,5,5,5
4,1,0,1,1,1,1,1,1,1,1
5,2,2,2,2,2,2,2,3,1,2
6,3,3,3,3,3,4,3,3,3,3
7,25,25,25,25,25,25,25,25,25,25
8,12,12,12,12,12,12,12,12,13,12
9,5,5,5,5,5,5,5,5,5,5
10,2,2,2,2,2,2,1,1,2,2
11,3,3,3,3,3,3,3,3,3,3
12,4,4,4,3,4,4,4,4,4,4
13,4,4,5,4,4,4,4,4,4,5
14,25,25,25,26,25,25,24,25,25,25
15,12,12,12,11,12,13,12,12,12,12
16,5,5,5,5,5,5,5,4,5,5
17,1,1,1,1,1,1,1,1,2,1
18,2,2,2,2,2,2,2,0,2,2
19,2,2,2,2,2,2,2,2,2,2
20,3,3,3,3,3,3,3,3,3,3
