round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,25,25,25,25,25
2,12,12,12,12,12,12,12,12,12,11
3,18,18,18,18,18,18,18,18,18,19
4,13,13,14,14,14,14,14,14,14,14
5,15,14,15,15,15,16,15,15,15,15
6,14,14,14,14,14,15,14,14,14,15
7,25,25,25,25,25,25,25,25,25,25
8,12,12,12,12,12,12,12,12,12,12
9,18,18,18,18,18,18,18,18,18,18
10,15,15,14,15,15,15,15,15,15,15
11,13,13,13,13,13,13,12,13,13,14
12,25,25,25,25,25,25,25,25,25,25
13,12,12,12,12,12,12,12,12,12,12
14,18,18,18,18,17,18,17,18,18,18
15,15,14,14,14,14,14,13,14,14,14
16,15,15,15,15,14,15,15,15,16,15
17,25,25,25,25,24,25,25,25,25,26
18,12,12,12,12,12,12,12,12,12,12
19,18,18,17,18,18,18,18,18,18,18
20,14,14,14,14,14,14,14,14,14,14
