round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,25,25,25,26,25,25,25,25
2,11,12,12,12,12,12,12,12,12,12
3,18,18,18,18,18,17,18,18,18,18
4,14,13,14,14,14,14,14,14,14,14
5,15,15,15,15,15,15,15,15,15,15
6,16,16,16,16,16,17,16,16,17,16
7,25,25,25,25,25,25,24,25,25,25
8,11,11,11,11,11,11,9,11,11,11
9,17,17,17,18,17,17,17,17,17,17
10,13,13,13,13,13,13,14,13,12,13
11,15,15,15,15,15,15,15,15,14,15
12,15,15,15,15,15,14,15,15,15,15
13,15,15,15,16,14,15,15,15,15,15
14,16,15,15,16,16,16,16,16,16,16
15,16,16,16,16,16,16,16,16,15,16
16,16,17,16,16,16,16,16,16,16,16
17,25,26,25,25,25,25,25,25,24,25
18,12,13,12,12,11,12,12,12,12,12
19,20,18,18,18,18,18,18,18,18,18
20,16,15,16,15,15,15,15,15,15,15
