round,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
1,25,25,26,25,24,25,25,25,25,25
2,12,12,12,11,12,11,12,12,12,12
3,18,18,18,18,18,18,18,18,18,18
4,21,21,21,21,19,21,21,21,21,21
5,19,19,19,19,19,19,19,19,19,21
6,25,25,24,26,25,25,25,25,25,25
7,12,12,12,12,12,11,13,12,12,12
8,18,18,18,18,18,18,18,17,18,18
9,21,21,21,21,21,21,21,21,21,21
10,19,18,19,19,19,19,19,19,19,19
11,19,19,19,19,19,19,19,19,19,19
12,20,20,20,20,20,20,20,20,20,20
13,25,25,25,25,24,25,25,25,25,24
14,12,11,11,11,11,11,11,12,11,11
15,17,17,16,16,17,17,17,17,17,17
16,20,20,20,20,20,20,20,20,20,20
17,18,18,19,18,18,18,18,18,18,18
18,19,19,19,19,19,19,19,19,19,19
19,25,25,25,25,24,25,25,25,25,25
20,11,11,11,11,11,11,11,11,11,11
